frame,pA_x,pA_y,pB_x,pB_y
206,1455.0,217.0,1362.0,182.0
207,1457.0,213.0,1360.0,186.0
208,1448.0,172.0,1367.0,229.0
209,1414.0,216.0,1403.0,185.0
210,1406.0,217.0,1409.0,186.0
211,1443.0,162.0,1370.0,231.0
212,1429.0,155.0,1376.0,240.0
213,1430.0,235.0,1381.0,148.0
214,1432.0,209.0,1359.0,140.0
215,1436.0,179.0,1337.0,178.0
216,1435.0,171.0,1336.0,186.0
217,1429.0,154.0,1342.0,203.0
218,1402.0,133.0,1373.0,228.0
219,1415.0,131.0,1338.0,196.0
220,1424.0,170.0,1325.0,169.0
221,1410.0,196.0,1357.0,111.0
222,1394.0,106.0,1353.0,197.0
223,1407.0,109.0,1370.0,202.0
224,1389.0,203.0,1380.0,104.0
225,1389.0,202.0,1378.0,103.0
226,,,,
227,,,,
228,,,,
229,,,,
230,,,,
231,,,,
232,,,,
233,,,,
234,,,,
235,,,,
236,,,,
237,,,,
238,,,,
239,,,,
240,,,,
241,,,,
242,,,,
243,,,,
244,,,,
245,,,,
246,,,,
247,,,,
248,,,,
249,,,,
250,,,,
251,,,,
252,,,,
253,,,,
254,,,,
255,,,,
256,,,,
257,,,,
258,,,,
259,,,,
260,,,,
261,,,,
262,,,,
263,,,,
264,,,,
265,,,,
266,,,,
267,,,,
268,,,,
269,,,,
270,,,,
271,,,,
272,,,,
273,,,,
274,,,,
275,,,,
276,,,,
277,,,,
278,,,,
279,,,,
280,,,,
281,,,,
282,,,,
283,,,,
284,,,,
285,,,,
286,,,,
287,,,,
288,,,,
289,,,,
290,,,,
291,,,,
292,,,,
293,,,,
294,,,,
295,,,,
296,,,,
297,,,,
298,,,,
299,,,,
300,,,,
301,,,,
302,,,,
303,,,,
304,,,,
305,,,,
306,,,,
307,,,,
308,,,,
309,,,,
