frame,pA_x,pA_y,pB_x,pB_y
206,1424.0,206.0,1393.0,193.0
207,1425.0,204.0,1392.0,195.0
208,1421.0,191.0,1394.0,210.0
209,1414.0,216.0,1403.0,185.0
210,1406.0,217.0,1409.0,186.0
211,1418.0,186.0,1395.0,207.0
212,1410.0,185.0,1395.0,210.0
213,1413.0,205.0,1398.0,178.0
214,1385.0,165.0,1406.0,184.0
215,1399.0,179.0,1374.0,178.0
216,1398.0,176.0,1373.0,181.0
217,1374.0,184.0,1397.0,173.0
218,1384.0,192.0,1391.0,169.0
219,1385.0,157.0,1368.0,170.0
220,1384.0,169.0,1365.0,170.0
221,1379.0,146.0,1388.0,161.0
222,1370.0,159.0,1377.0,144.0
223,1391.0,149.0,1386.0,162.0
224,1384.0,148.0,1385.0,159.0
225,1383.0,148.0,1384.0,157.0
226,,,,
227,,,,
228,,,,
229,,,,
230,,,,
231,,,,
232,,,,
233,,,,
234,,,,
235,,,,
236,,,,
237,,,,
238,,,,
239,,,,
240,,,,
241,,,,
242,,,,
243,,,,
244,,,,
245,,,,
246,,,,
247,,,,
248,,,,
249,,,,
250,,,,
251,,,,
252,,,,
253,,,,
254,,,,
255,,,,
256,,,,
257,,,,
258,,,,
259,,,,
260,,,,
261,,,,
262,,,,
263,,,,
264,,,,
265,,,,
266,,,,
267,,,,
268,,,,
269,,,,
270,,,,
271,,,,
272,,,,
273,,,,
274,,,,
275,,,,
276,,,,
277,,,,
278,,,,
279,,,,
280,,,,
281,,,,
282,,,,
283,,,,
284,,,,
285,,,,
286,,,,
287,,,,
288,,,,
289,,,,
290,,,,
291,,,,
292,,,,
293,,,,
294,,,,
295,,,,
296,,,,
297,,,,
298,,,,
299,,,,
300,,,,
301,,,,
302,,,,
303,,,,
304,,,,
305,,,,
306,,,,
307,,,,
308,,,,
309,,,,
